fips,cases,deaths
33003,23,0
34019,255,2
34035,1189,46
36003,21,0
36067,377,9
36069,39,0
37063,236,1
39055,44,1
40017,40,1
41003,21,1
45039,16,0
47155,19,0
48037,35,5
48321,44,3
49045,23,0
49051,82,0
50017,5,0
51179,48,0
51199,25,1
55087,25,2
55141,2,0
1089,165,2
1115,35,0
2130,14,0
4017,240,7
6029,309,2
6053,69,2
10005,279,5
12009,105,2
12105,206,6
13245,79,3
13313,19,3
15001,26,0
16065,4,0
18047,61,7
18089,462,13
19001,1,0
19013,19,0
20045,38,0
20057,2,0
21143,6,2
22033,935,33
22117,106,5
23011,26,1
23017,12,0
23031,121,2
26075,126,4
26137,29,2
27091,34,4
27103,5,0
28047,88,3
28059,111,5
29019,78,1
29051,35,1
29095,167,5
31107,2,0
31153,37,0
34015,340,7
34041,289,9
35055,14,0
36019,39,0
36083,91,1
36105,279,7
36121,27,0
37097,57,1
37163,5,0
38015,42,0
38017,77,1
39031,10,0
39037,38,7
39085,99,4
39099,305,28
40117,23,1
41039,31,1
42007,128,13
45017,5,1
45079,372,10
45091,115,2
48041,108,7
48139,44,2
48303,191,6
51540,23,1
51075,24,0
51087,291,33
51830,16,1
53021,75,2
53045,17,0
54037,40,0
55059,129,1
56021,44,0
56029,1,0
1015,52,0
1121,26,0
2122,12,0
4005,186,14
5011,5,0
5045,55,1
5143,36,0
6045,4,0
8125,2,0
9007,174,9
10001,201,3
12073,71,0
12119,91,7
12131,26,0
13073,50,0
13153,99,7
16083,55,1
17077,22,1
17091,145,6
17093,79,2
17099,17,1
17119,82,2
17189,2,0
17199,9,0
18019,87,8
18041,18,3
18079,44,2
18095,151,19
19183,62,2
19191,4,0
20103,59,1
21073,10,0
21117,75,8
21227,32,0
23019,31,0
25011,117,21
27131,4,0
28011,54,2
28027,32,1
28033,144,1
28089,83,2
28111,14,1
29183,254,10
29510,444,12
31001,27,0
31111,17,1
33001,21,0
33013,60,1
34001,168,4
36017,53,0
36031,7,0
36041,2,0
36045,40,0
36051,28,0
36113,33,1
36115,20,0
37071,62,2
37081,122,8
37093,13,0
37109,11,0
37125,37,0
37129,48,0
38059,18,1
39005,3,0
39023,13,0
39041,79,1
39077,9,1
39109,107,14
42001,33,0
42011,416,7
42069,266,10
42133,233,2
45061,22,2
47021,13,0
47147,67,0
47165,376,18
48285,2,0
48309,62,1
48325,7,0
48401,12,0
48479,135,6
48485,50,0
48491,87,4
49003,13,0
49005,28,0
51036,5,0
51760,119,2
53005,190,19
54055,6,0
55009,47,0
55063,22,0
55131,62,3
56039,39,0
1017,140,8
1097,249,8
1127,68,0
4023,6,0
4025,58,1
5007,46,0
5009,3,0
5019,27,0
5031,27,0
5035,65,1
5053,7,0
5055,6,0
5063,5,0
5111,6,0
5113,6,0
5115,21,0
5129,6,0
5131,9,0
5133,6,0
5141,25,1
8025,1,1
8049,4,0
8087,23,0
9013,128,13
9015,49,1
12053,57,1
12061,65,0
12063,4,0
12085,108,1
13021,51,1
13099,97,5
13103,19,1
13127,32,0
13175,27,0
13225,19,2
13247,85,2
18119,17,0
18157,38,1
18177,16,1
19061,28,1
19139,61,1
20021,5,0
20107,6,0
20127,2,0
20173,154,2
21047,45,0
21059,63,2
21101,20,0
21199,26,1
21209,21,0
22007,89,0
22019,191,4
22045,97,4
22047,171,9
22055,285,10
22063,99,1
22075,123,7
22093,181,7
22097,86,4
22119,51,2
22121,54,9
24009,56,2
24045,20,1
25015,164,3
26037,82,1
26045,67,3
26049,713,39
26093,174,2
26111,24,1
27099,18,0
27139,17,1
28051,27,3
28067,15,0
28123,34,0
28147,15,0
28157,33,3
28159,16,0
28163,38,1
30007,4,0
30029,31,0
30057,9,1
30085,2,0
31127,1,0
32007,9,1
34009,100,3
34037,357,21
35047,1,0
36095,12,0
36117,39,0
39061,437,13
39113,147,2
39139,25,0
40039,5,0
40051,9,0
40083,6,0
40087,15,0
40147,45,2
42071,561,16
42075,169,0
42129,183,1
45001,6,0
45035,54,0
45081,5,0
47035,33,0
47045,11,0
47125,72,2
47179,30,0
47189,117,0
48061,108,0
48103,2,0
48123,7,0
48251,30,0
48467,7,1
53009,10,0
54061,73,1
54093,3,0
55007,3,0
55015,4,0
55021,24,1
55035,21,0
55089,70,11
55111,20,2
55127,23,0
1043,22,1
1071,20,1
1075,6,0
1077,19,2
1129,7,1
4027,14,0
6005,2,0
6025,75,3
8014,52,2
8093,5,0
8113,10,0
9011,120,5
12087,52,3
13045,184,4
13051,124,4
13085,23,1
13097,124,5
13149,2,0
13171,15,0
13181,6,0
13201,9,0
13207,12,1
13215,94,2
13219,33,1
13227,10,2
13243,87,3
13255,56,4
13261,180,5
13273,95,9
13277,52,1
13287,22,0
13321,65,3
16011,2,0
16027,121,3
16055,42,0
17001,9,0
17021,24,4
17113,65,2
18003,97,9
18053,23,3
18145,60,5
18163,41,1
18167,33,3
20155,11,0
20161,19,0
21035,8,1
22025,14,1
22031,91,7
22079,135,4
22105,269,4
24047,10,0
27025,5,1
27027,20,0
27045,10,0
28001,25,0
28037,5,0
28053,6,1
28071,26,1
28077,6,0
28081,40,2
28093,24,1
28113,33,1
28121,79,2
28129,15,0
28139,37,4
29043,17,0
29069,9,0
29169,12,1
29201,11,0
31019,28,1
31109,39,1
32023,11,0
33005,14,1
34011,80,2
35013,39,0
35031,70,2
36021,72,4
36035,14,0
36037,47,0
36063,143,0
36065,125,2
37031,18,1
37057,73,1
37069,23,1
37135,81,0
37139,10,0
37147,51,0
37159,64,2
37167,8,0
38069,2,0
38071,3,0
39007,20,0
39029,71,6
39101,32,0
39159,8,0
39165,46,0
40049,11,0
41023,1,0
41061,3,0
42027,57,0
42049,29,1
42055,43,0
42105,3,0
45003,32,1
45015,56,0
45027,72,3
45031,28,0
45041,47,5
45075,31,0
45077,21,0
45085,117,3
47001,11,1
47009,42,2
47011,28,0
47043,27,0
47059,20,1
47063,4,0
47119,29,0
47167,38,0
48049,6,0
48067,5,2
48147,2,0
48219,10,1
48459,5,0
50001,49,0
50021,31,0
51001,11,0
51073,16,0
51700,60,1
51710,77,1
51740,41,1
53015,21,0
53055,12,0
53065,6,0
54035,19,1
54039,70,0
55017,17,0
55031,7,0
55033,6,0
55045,9,0
55055,16,0
55073,12,0
55105,42,2
55109,7,0
56005,6,0
56025,23,0
1093,23,3
4001,34,3
4003,9,0
6007,13,0
6017,29,0
6093,4,0
6115,15,2
8015,23,2
8039,10,1
8053,1,0
8085,35,3
12005,28,1
12055,44,4
12083,68,2
12107,24,1
12111,129,6
13009,30,1
13187,9,0
17037,32,1
18035,46,1
18039,46,3
18059,99,2
18061,48,1
18103,12,0
18175,21,0
19065,3,0
19087,15,1
19113,197,9
19169,6,0
21005,3,1
21151,14,1
21215,3,0
22009,48,1
22011,23,1
22013,17,1
22027,33,2
22039,25,0
22073,275,3
22101,81,0
23023,13,0
24011,11,0
24039,4,0
24043,57,0
25019,9,0
26005,18,0
26015,7,0
26021,72,2
26025,51,1
26035,3,0
26145,186,6
26157,27,2
26165,7,0
27039,13,0
27063,1,0
27137,28,0
27147,8,0
27157,6,0
28007,15,0
28025,11,0
28039,5,0
28043,8,0
28057,5,0
28079,15,0
28085,26,1
28087,17,0
28107,19,1
28127,6,0
28143,17,1
28145,6,0
28151,41,2
29013,4,0
29097,10,0
29101,35,0
30013,11,0
30081,3,0
33017,48,0
35025,2,0
36101,82,3
37021,33,1
37035,28,1
39025,27,1
39039,10,0
39043,10,1
39089,64,3
41033,16,0
42019,113,2
42093,26,0
45033,1,0
45037,6,0
45047,14,0
45053,12,0
45069,10,0
45071,9,1
47017,8,0
47029,2,0
47047,22,0
47123,6,0
47141,81,0
47145,5,0
47151,5,0
48021,18,1
48069,10,1
48117,7,0
48329,30,1
48359,3,1
48375,47,1
50011,33,3
50025,40,1
