retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,fips
95,-39.0,-16.0,13.0,-23.0,-37.0,16.0,40067
96,-39.0,-16.0,13.0,-23.0,-37.0,16.0,41031
97,-39.0,-16.0,13.0,-23.0,-37.0,16.0,42065
98,-39.0,-16.0,13.0,-23.0,-37.0,16.0,47089
99,-39.0,-16.0,13.0,-23.0,-37.0,16.0,48245
100,-39.0,-16.0,13.0,-23.0,-37.0,16.0,53031
101,-39.0,-16.0,13.0,-23.0,-37.0,16.0,54037
102,-39.0,-16.0,13.0,-23.0,-37.0,16.0,55055
103,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,1089
104,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,5087
105,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,12079
106,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,13195
107,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,16065
108,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,17119
109,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,18095
110,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,19121
111,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,21151
112,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,28089
113,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,29123
114,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,30057
115,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,31119
116,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,36053
117,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,37115
118,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,39097
119,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,47113
120,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,48313
121,-43.0,-14.0,-3.0,-48.0,-54.0,23.0,51113
122,-33.0,-12.0,36.0,-20.0,-48.0,18.0,1089
123,-33.0,-12.0,36.0,-20.0,-48.0,18.0,5087
124,-33.0,-12.0,36.0,-20.0,-48.0,18.0,12079
125,-33.0,-12.0,36.0,-20.0,-48.0,18.0,13195
126,-33.0,-12.0,36.0,-20.0,-48.0,18.0,16065
127,-33.0,-12.0,36.0,-20.0,-48.0,18.0,17119
128,-33.0,-12.0,36.0,-20.0,-48.0,18.0,18095
129,-33.0,-12.0,36.0,-20.0,-48.0,18.0,19121
130,-33.0,-12.0,36.0,-20.0,-48.0,18.0,21151
131,-33.0,-12.0,36.0,-20.0,-48.0,18.0,28089
132,-33.0,-12.0,36.0,-20.0,-48.0,18.0,29123
133,-33.0,-12.0,36.0,-20.0,-48.0,18.0,30057
134,-33.0,-12.0,36.0,-20.0,-48.0,18.0,31119
135,-33.0,-12.0,36.0,-20.0,-48.0,18.0,36053
136,-33.0,-12.0,36.0,-20.0,-48.0,18.0,37115
137,-33.0,-12.0,36.0,-20.0,-48.0,18.0,39097
138,-33.0,-12.0,36.0,-20.0,-48.0,18.0,47113
139,-33.0,-12.0,36.0,-20.0,-48.0,18.0,48313
140,-33.0,-12.0,36.0,-20.0,-48.0,18.0,51113
141,-32.0,-5.0,-12.0,-28.0,-39.0,16.0,1097
142,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,1101
143,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,5097
144,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,13209
145,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,17135
146,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,18107
147,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,19137
148,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,20125
149,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,21173
150,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,24031
151,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,28097
152,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,29139
153,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,36057
154,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,37123
155,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,39113
156,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,42091
157,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,47125
158,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,48339
159,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,51121
160,-49.0,-29.0,57.0,-64.0,-67.0,29.0,1101
161,-49.0,-29.0,57.0,-64.0,-67.0,29.0,5097
162,-49.0,-29.0,57.0,-64.0,-67.0,29.0,13209
163,-49.0,-29.0,57.0,-64.0,-67.0,29.0,17135
164,-49.0,-29.0,57.0,-64.0,-67.0,29.0,18107
165,-49.0,-29.0,57.0,-64.0,-67.0,29.0,19137
166,-49.0,-29.0,57.0,-64.0,-67.0,29.0,20125
167,-49.0,-29.0,57.0,-64.0,-67.0,29.0,21173
168,-49.0,-29.0,57.0,-64.0,-67.0,29.0,24031
169,-49.0,-29.0,57.0,-64.0,-67.0,29.0,28097
170,-49.0,-29.0,57.0,-64.0,-67.0,29.0,29139
171,-49.0,-29.0,57.0,-64.0,-67.0,29.0,36057
172,-49.0,-29.0,57.0,-64.0,-67.0,29.0,37123
173,-49.0,-29.0,57.0,-64.0,-67.0,29.0,39113
174,-49.0,-29.0,57.0,-64.0,-67.0,29.0,42091
175,-49.0,-29.0,57.0,-64.0,-67.0,29.0,47125
176,-49.0,-29.0,57.0,-64.0,-67.0,29.0,48339
177,-49.0,-29.0,57.0,-64.0,-67.0,29.0,51121
178,-36.0,-6.0,94.0,-12.0,-50.0,17.0,1101
179,-36.0,-6.0,94.0,-12.0,-50.0,17.0,5097
180,-36.0,-6.0,94.0,-12.0,-50.0,17.0,13209
181,-36.0,-6.0,94.0,-12.0,-50.0,17.0,17135
182,-36.0,-6.0,94.0,-12.0,-50.0,17.0,18107
183,-36.0,-6.0,94.0,-12.0,-50.0,17.0,19137
184,-36.0,-6.0,94.0,-12.0,-50.0,17.0,20125
185,-36.0,-6.0,94.0,-12.0,-50.0,17.0,21173
186,-36.0,-6.0,94.0,-12.0,-50.0,17.0,24031
187,-36.0,-6.0,94.0,-12.0,-50.0,17.0,28097
188,-36.0,-6.0,94.0,-12.0,-50.0,17.0,29139
189,-36.0,-6.0,94.0,-12.0,-50.0,17.0,36057
190,-36.0,-6.0,94.0,-12.0,-50.0,17.0,37123
191,-36.0,-6.0,94.0,-12.0,-50.0,17.0,39113
192,-36.0,-6.0,94.0,-12.0,-50.0,17.0,42091
193,-36.0,-6.0,94.0,-12.0,-50.0,17.0,47125
194,-36.0,-6.0,94.0,-12.0,-50.0,17.0,48339
195,-36.0,-6.0,94.0,-12.0,-50.0,17.0,51121
196,-50.0,-32.0,49.0,-64.0,-64.0,27.0,1101
197,-50.0,-32.0,49.0,-64.0,-64.0,27.0,5097
198,-50.0,-32.0,49.0,-64.0,-64.0,27.0,13209
199,-50.0,-32.0,49.0,-64.0,-64.0,27.0,17135
200,-50.0,-32.0,49.0,-64.0,-64.0,27.0,18107
201,-50.0,-32.0,49.0,-64.0,-64.0,27.0,19137
202,-50.0,-32.0,49.0,-64.0,-64.0,27.0,20125
203,-50.0,-32.0,49.0,-64.0,-64.0,27.0,21173
204,-50.0,-32.0,49.0,-64.0,-64.0,27.0,24031
205,-50.0,-32.0,49.0,-64.0,-64.0,27.0,28097
206,-50.0,-32.0,49.0,-64.0,-64.0,27.0,29139
207,-50.0,-32.0,49.0,-64.0,-64.0,27.0,36057
208,-50.0,-32.0,49.0,-64.0,-64.0,27.0,37123
209,-50.0,-32.0,49.0,-64.0,-64.0,27.0,39113
210,-50.0,-32.0,49.0,-64.0,-64.0,27.0,42091
211,-50.0,-32.0,49.0,-64.0,-64.0,27.0,47125
212,-50.0,-32.0,49.0,-64.0,-64.0,27.0,48339
213,-50.0,-32.0,49.0,-64.0,-64.0,27.0,51121
214,-31.0,-2.0,4.0,-13.0,-47.0,18.0,1101
215,-31.0,-2.0,4.0,-13.0,-47.0,18.0,5097
216,-31.0,-2.0,4.0,-13.0,-47.0,18.0,13209
217,-31.0,-2.0,4.0,-13.0,-47.0,18.0,17135
218,-31.0,-2.0,4.0,-13.0,-47.0,18.0,18107
219,-31.0,-2.0,4.0,-13.0,-47.0,18.0,19137
