fips,pop_total,pop_density
12003,27115,46.3
12005,168852,222.6
12007,28520,97
12009,543376,535
12011,1748066,1444.9
12013,14625,25.8
12015,159978,235.2
12017,141236,242.8
12019,190865,315.8
12021,321520,160.9
12023,67531,84.7
12027,34862,54.7
12029,16422,23.3
12031,864263,1133.9
12033,297619,453.4
12035,95696,197.1
12037,11549,21.6
12039,46389,89.8
12041,16939,48.4
12043,12884,16
12045,15863,28.1
12047,14799,28.8
12049,27731,43.5
12051,39140,34
12053,172778,365.6
12055,98786,97.2
12057,1229226,1204.9
12059,19927,41.6
12061,138028,274.5
12063,49746,54.2
12065,14761,24.7
12067,8870,16.3
12069,297052,316.6
12071,618754,788.7
12073,275487,413.1
12075,40801,36.5
12077,8365,10
12079,19224,27.6
12081,322833,434.5
12083,331298,209.1
12085,146318,269.2
12086,2496435,1315.5
12087,73090,74.3
12089,73314,113
12091,180822,194.4
12093,39996,52
12095,1145956,1268.5
12097,268685,202.4
12099,1320134,670.2
12101,464697,622.2
12103,916542,3347.5
12105,602095,334.9
12107,74364,102.2
12109,190039,316.4
12111,277789,485.7
12113,151372,149.6
12115,379448,682.6
12117,422718,1367
12119,93420,170.8
12121,41551,60.3
12123,22570,21.6
12125,15535,63.8
12127,494593,449.2
12129,30776,50.8
12131,55043,53
12133,24896,42.7
13001,18236,36
13003,8375,24.7
13005,11096,42.9
13007,3451,10.1
13009,45720,177.3
13011,18395,79.3
13013,69367,432.7
13015,100157,217.9
13017,17634,70.5
13019,19286,42.7
13021,155547,622.8
13023,13063,60.5
13025,18411,41.6
13027,16243,32.9
13029,30233,69.3
13031,70217,104.4
13033,23316,28.2
13035,23655,128.3
13037,6694,23.9
13039,50513,82.4
13043,10998,45.3
13045,110527,221.5
13047,63942,394.3
13049,12171,15.7
13051,265128,621.7
13053,11267,45.3
13055,26015,83
13057,214346,508.3
13059,116714,979.1
13061,3183,16.3
13063,259424,1832.5
13065,6798,8.5
13067,688078,2026.4
13069,42356,73.7
13071,45498,83.6
13073,124053,427.6
13075,17212,75.8
13077,127317,288.8
13079,12630,38.9
13081,23439,86
13083,16633,95.6
13085,22330,105.9
13087,27842,46.6
13089,691893,2585.7
13091,21796,44
13093,14918,38.1
13095,94565,287.7
13097,132403,661.8
13099,11008,21.5
13101,4034,9.7
13103,52250,109.4
13105,20166,57.4
13107,22598,33.2
13109,11000,60.2
13111,23682,61.2
13113,106567,548.3
13115,96317,188.9
13117,175511,783.5
13119,22084,84.5
13121,920581,1748
13123,28292,66.3
13125,3082,21.4
13127,79626,189.7
13129,55186,155.1
13131,25011,55
13133,15994,41.3
13135,805321,1871.2
13137,43041,155.5
13139,179684,457.5
13141,9429,20
13143,28780,102
13145,32024,69
13147,25213,108.5
13149,11834,40
13151,203922,633
13153,139900,372.5
13155,9538,26.9
13157,60485,178.1
13159,13900,37.8
13161,15068,45.6
13163,16930,32.2
13165,8340,24
13167,9980,32.9
13169,28669,72.8
13171,18317,99.8
13173,10078,54.4
13175,48434,60
13177,28298,79.5
13179,63453,129.5
13181,7996,38
13183,14464,36.1
13185,109233,220.2
13187,29966,105.9
13189,21875,85
13191,14333,33.8
13193,14740,36.8
13195,28120,99.6
13197,8742,23.9
13199,21992,43.9
13201,6125,21.7
13205,23498,45.9
13207,26424,66.8
13209,9123,38.1
13211,17868,51.4
13213,39628,115
13215,189885,877.5
13217,99958,367.3
13219,32808,178
13221,14899,33.9
13223,142324,455.8
13225,27695,184.3
13227,29431,126.8
13229,18758,59.3
13231,17869,82.7
13233,41475,133.6
13235,12010,48.2
13237,21218,61.6
13239,2513,16.6
13241,16276,44
13243,7719,18
13245,200549,618.4
13247,85215,656.5
13249,5010,30
13251,14593,22.6
13253,8729,37.1
13255,64073,326.1
13257,26175,146.1
13259,6058,13.2
13261,32819,68
13263,6865,17.5
13265,1717,8.8
13267,25520,53.2
13269,8906,23.6
13271,16500,37.7
13273,9315,27.8
13275,44720,82.1
13277,40118,154.9
13279,27223,74.8
13281,10471,62.9
13283,6885,34.5
13285,67044,161.9
13287,8930,31.3
13289,9023,25.2
13291,21356,66.3
13293,27153,84
13295,68756,154
13297,83768,257.2
13299,36312,40.7
13301,5834,20.5
13303,21187,31.2
13305,30099,46.9
13307,2799,13.4
13309,7421,25.1
13311,27144,112.8
13313,102599,353.2
13315,9255,24.5
13317,10593,22.6
13319,9563,21.4
13321,21679,38
15001,185079,45.9
15003,953207,1586.7
15005,90,7.5
15007,67091,108.2
15009,154834,133.3
16001,392365,372.8
16003,3976,2.9
16005,82839,74.5
16007,5986,6.1
16009,9285,12
16011,45607,21.8
16013,21376,8.1
16015,7028,3.7
16017,40877,23.6
16019,104234,55.9
16021,10972,8.6
16023,2891,1.3
16025,1117,1
16027,188923,321.6
16029,6963,3.9
16031,22952,8.9
16033,982,0.6
16035,8761,3.6
16037,4368,0.9
16039,27038,8.8
16041,12786,19.3
16043,13242,7.1
16045,16719,29.8
16047,15464,21.2
16049,16267,1.9
16051,26140,23.9
16053,22374,37.5
16055,138494,111.3
16057,37244,34.6
16059,7936,1.7
16061,3821,8
16063,5208,4.3
16065,37536,80
16067,20069,26.5
16069,39265,46.3
16071,4286,3.6
16073,11526,1.5
16075,22623,55.6
16077,7817,5.6
16079,12765,4.9
16081,10170,22.6
16083,77230,40.2
16085,9862,2.7
16087,10198,7
17001,67103,78.5
17003,8238,35
17005,17768,46.7
17007,54165,193
17009,6937,22.7
17011,34978,40.2
17013,5089,20
17015,15387,34.6
17017,13642,36.3
17019,201081,201.8
17021,34800,49.1
17023,16335,32.6
17025,13815,29.5
17027,37762,79.7
17029,53873,106
17031,5194675,5495.1
17033,19817,44.7
17035,11048,31.9
17037,105160,166.6
17039,16561,41.7
17041,19980,48
17043,916924,2799.8
17045,18576,29.8
17047,6721,30.2
17049,34242,71.5
17051,22140,30.9
17053,14081,29
17055,39561,96.8
17057,37069,42.8
17059,5589,17.3
17061,13886,25.6
17063,50063,119.8
17065,8457,19.5
17067,19104,24.1
17069,4320,24.3
17071,7331,19.3
17073,50486,61.3
17075,29718,26.6
17077,60218,103.1
17079,9698,19.6
17081,38827,68
17083,22985,62.2
17085,22678,37.7
17087,12582,36.6
17089,515269,990.8
17091,113449,167.7
17093,114736,358.2
17095,52919,73.9
17097,703462,1585.6
17099,113924,100.4
17101,16833,45.2
17103,36031,49.7
17105,38950,37.3
17107,30305,49
17109,32612,55.3
17111,308760,511.9
17113,169572,143.3
17115,110768,190.8
17117,47765,55.4
17119,269282,376.3
17121,39437,68.9
17123,12640,32.7
17125,14666,27.2
17127,15429,65
17129,12705,40.4
17131,16434,29.3
17133,32957,85.6
17135,30104,42.8
17137,35547,62.5
17139,14846,44.2
17141,53497,70.5
17143,186494,301.2
17145,22350,50.6
17147,16729,38.1
17149,16430,19.8
17151,4470,12.1
17153,6161,30.9
17155,6006,37.5
17157,33476,58.2
17159,16233,45.1
17161,147546,345
17163,270056,410.6
17165,24913,65.6
17167,197465,227.4
17169,7544,17.3
17171,5355,21.3
17173,22363,29.5
17175,5994,20.8
17177,47711,84.5
17179,135394,208.6
17181,17808,43.1
17183,81625,90.9
17185,11947,53.5
17187,17707,32.6
17189,14716,26.2
17191,16760,23.5
17193,14665,29.6
17195,58498,85.5
17197,677560,809.6
17199,66357,157.9
17201,295266,575.2
17203,38664,73.3
18001,34387,101.4
18003,355329,540.6
18005,76794,188.7
18007,8854,21.8
18009,12766,77.3
18011,56640,133.9
18013,15242,48.9
18015,20155,54.1
18017,38966,94.5
18019,110232,295.6
18021,26890,75.2
18023,33224,82
18025,10713,35.1
18027,31648,73.7
18029,50047,164.1
18031,25740,69.1
18033,42223,116.4
18035,117671,300.1
18037,41889,98
18039,197559,426.5
18041,24277,112.9
18043,74578,504.1
18045,17240,43.6
18047,23087,60.1
18049,20836,56.6
18051,33503,68.7
18053,70061,169.2
18055,33165,61.1
18057,274569,696.4
18059,70002,228.8
18061,39364,81.2
18063,145448,357.4
18065,49462,126.2
18067,82752,282.4
18069,37124,97
18071,42376,83.2
18073,33478,59.8
18075,21253,55.4
18077,32428,89.9
18079,28525,75.7
18081,139654,435.8
18083,38440,74.5
18085,77358,145.6
18087,37128,97.8
18089,496005,994.1
18091,111467,186.3
18093,46134,102.7
18095,131636,291.3
18097,903393,2279.6
18099,47051,106.1
18101,10334,30.8
18103,36903,98.7
18105,137974,349.7
18107,38124,75.6
18109,68894,170.5
18111,14244,35.5
18113,47536,115.7
18115,6128,71.1
18117,19840,49.8
18119,21575,56
18121,17339,39
18123,19338,50.7
18125,12845,38.4
18127,164343,393
18129,25910,63.3
18131,13402,30.9
18133,37963,79
18135,26171,57.9
18137,28818,64.6
18139,17392,42.6
