,fips,cases,deaths,never,rarely,sometimes,frequently,always,retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,pop_total,pop_density,candidate,risk_factor
40,12081,172,8,0.07400000000000001,0.037000000000000005,0.062,0.201,0.626,-47.0,-22.0,-34.0,-57.0,-44.0,17.0,322833,434.5,1,0
41,6061,117,4,0.012,0.023,0.07200000000000001,0.201,0.693,-44.0,-13.0,-3.0,-38.0,-56.0,22.0,348432,247.6,1,0
42,6081,617,21,0.016,0.013000000000000001,0.057999999999999996,0.126,0.7859999999999999,-55.0,-22.0,-21.0,-82.0,-70.0,33.0,718451,1602.2,0,0
43,13121,1261,42,0.026000000000000002,0.036000000000000004,0.08900000000000001,0.187,0.662,-51.0,-22.0,-45.0,-55.0,-64.0,25.0,920581,1748.0,0,0
44,25021,1778,42,0.02,0.015,0.035,0.125,0.805,-51.0,-21.0,6.0,-71.0,-67.0,30.0,670850,1693.6,0,1
45,33009,43,0,0.039,0.026000000000000002,0.032,0.19899999999999998,0.705,-45.0,-18.0,-26.0,-43.0,-48.0,19.0,89118,52.2,0,0
46,6013,462,7,0.018000000000000002,0.016,0.039,0.121,0.8059999999999999,-44.0,-14.0,-18.0,-65.0,-59.0,26.0,1049025,1465.2,0,0
47,37183,363,0,0.015,0.02,0.07,0.168,0.727,-43.0,-17.0,14.0,-71.0,-62.0,24.0,900993,1078.8,0,0
48,34003,7874,314,0.02,0.013999999999999999,0.053,0.151,0.762,-67.0,-5.0,-29.0,-64.0,-69.0,33.0,905116,3884.5,0,1
49,36119,15887,343,0.025,0.018000000000000002,0.044000000000000004,0.115,0.7979999999999999,-66.0,-4.0,48.0,-67.0,-66.0,30.0,949113,2204.7,0,1
50,48157,417,7,0.024,0.03,0.057,0.115,0.774,-39.0,-12.0,20.0,-31.0,-58.0,27.0,585375,679.5,0,0
51,53007,35,3,0.062,0.048,0.028999999999999998,0.297,0.564,-32.0,-5.0,59.0,-18.0,-46.0,15.0,72453,24.8,1,0
52,8035,244,8,0.013000000000000001,0.040999999999999995,0.081,0.192,0.6729999999999999,-45.0,-20.0,30.0,-48.0,-67.0,27.0,285465,339.7,1,0
53,8035,244,8,0.013000000000000001,0.040999999999999995,0.081,0.192,0.6729999999999999,-33.0,-18.0,8.0,-14.0,-49.0,21.0,285465,339.7,1,0
54,8035,244,8,0.013000000000000001,0.040999999999999995,0.081,0.192,0.6729999999999999,-40.0,-14.0,103.0,-18.0,-56.0,21.0,285465,339.7,1,0
55,8035,244,8,0.013000000000000001,0.040999999999999995,0.081,0.192,0.6729999999999999,-37.0,1.0,22.0,-35.0,-48.0,19.0,285465,339.7,1,0
56,8035,244,8,0.013000000000000001,0.040999999999999995,0.081,0.192,0.6729999999999999,-27.0,1.0,18.0,-3.0,-35.0,10.0,285465,339.7,1,0
57,8059,610,23,0.027999999999999997,0.031,0.075,0.19399999999999998,0.6729999999999999,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,534543,699.5,0,0
58,8059,610,23,0.027999999999999997,0.031,0.075,0.19399999999999998,0.6729999999999999,-42.0,-27.0,34.0,-39.0,-60.0,24.0,534543,699.5,0,0
59,8059,610,23,0.027999999999999997,0.031,0.075,0.19399999999999998,0.6729999999999999,-38.0,2.0,78.0,-27.0,-51.0,19.0,534543,699.5,0,0
60,8059,610,23,0.027999999999999997,0.031,0.075,0.19399999999999998,0.6729999999999999,-39.0,-16.0,13.0,-23.0,-37.0,16.0,534543,699.5,0,0
61,24031,1088,26,0.025,0.028999999999999998,0.040999999999999995,0.128,0.777,-40.0,-13.0,-12.0,-20.0,-46.0,20.0,971777,1978.2,0,0
62,24031,1088,26,0.025,0.028999999999999998,0.040999999999999995,0.128,0.777,-49.0,-29.0,57.0,-64.0,-67.0,29.0,971777,1978.2,0,0
63,24031,1088,26,0.025,0.028999999999999998,0.040999999999999995,0.128,0.777,-36.0,-6.0,94.0,-12.0,-50.0,17.0,971777,1978.2,0,0
64,24031,1088,26,0.025,0.028999999999999998,0.040999999999999995,0.128,0.777,-50.0,-32.0,49.0,-64.0,-64.0,27.0,971777,1978.2,0,0
65,24031,1088,26,0.025,0.028999999999999998,0.040999999999999995,0.128,0.777,-31.0,-2.0,4.0,-13.0,-47.0,18.0,971777,1978.2,0,0
66,24031,1088,26,0.025,0.028999999999999998,0.040999999999999995,0.128,0.777,-38.0,-14.0,8.0,-23.0,-49.0,20.0,971777,1978.2,0,0
67,25017,3545,80,0.023,0.011000000000000001,0.040999999999999995,0.127,0.7979999999999999,-45.0,-17.0,26.0,-51.0,-54.0,23.0,1503085,1837.9,0,1
68,25017,3545,80,0.023,0.011000000000000001,0.040999999999999995,0.127,0.7979999999999999,-55.0,-27.0,-22.0,-76.0,-70.0,32.0,1503085,1837.9,0,1
69,25017,3545,80,0.023,0.011000000000000001,0.040999999999999995,0.127,0.7979999999999999,-64.0,-3.0,-5.0,-69.0,-65.0,30.0,1503085,1837.9,0,1
70,32003,1878,65,0.027000000000000003,0.032,0.054000000000000006,0.145,0.742,-44.0,-20.0,-51.0,-58.0,-58.0,23.0,1951269,247.3,0,0
71,32003,1878,65,0.027000000000000003,0.032,0.054000000000000006,0.145,0.742,-36.0,-16.0,93.0,-34.0,-51.0,19.0,1951269,247.3,0,0
72,32031,326,8,0.024,0.025,0.06,0.215,0.6759999999999999,-37.0,-10.0,21.0,-50.0,-48.0,20.0,421407,66.9,0,0
73,36059,18548,701,0.017,0.018000000000000002,0.043,0.142,0.779,-64.0,-11.0,6.0,-73.0,-67.0,32.0,1339532,4704.8,0,1
74,47187,287,3,0.019,0.073,0.091,0.212,0.604,-47.0,-13.0,32.0,-23.0,-65.0,25.0,183182,314.4,1,0
75,47187,287,3,0.019,0.073,0.091,0.212,0.604,-41.0,-19.0,-5.0,-32.0,-60.0,25.0,183182,314.4,1,0
76,48201,2341,31,0.019,0.024,0.069,0.152,0.736,-39.0,-16.0,-6.0,-54.0,-50.0,22.0,4092459,2402.4,0,0
77,4021,124,0,0.033,0.055,0.096,0.14800000000000002,0.667,-31.0,-19.0,-35.0,-24.0,-44.0,15.0,375770,70.0,1,0
78,6113,67,3,0.006999999999999999,0.005,0.04,0.156,0.7909999999999999,-39.0,-16.0,-6.0,-36.0,-55.0,22.0,200849,197.9,0,0
79,8031,927,33,0.02,0.018000000000000002,0.062,0.19399999999999998,0.7070000000000001,-53.0,-18.0,13.0,-71.0,-60.0,24.0,600158,3922.6,0,0
80,8041,472,30,0.031,0.08900000000000001,0.081,0.196,0.603,-34.0,-13.0,48.0,-40.0,-55.0,20.0,622263,292.6,1,0
81,8041,472,30,0.031,0.08900000000000001,0.081,0.196,0.603,-44.0,-16.0,-63.0,-35.0,-49.0,23.0,622263,292.6,1,0
82,12011,2365,60,0.026000000000000002,0.023,0.043,0.11699999999999999,0.7909999999999999,-47.0,-23.0,-58.0,-68.0,-53.0,26.0,1748066,1444.9,0,0
83,12071,475,14,0.052000000000000005,0.05,0.073,0.17600000000000002,0.648,-51.0,-27.0,-66.0,-65.0,-46.0,18.0,618754,788.7,1,0
84,13233,22,0,0.106,0.071,0.192,0.145,0.485,-38.0,-18.0,-35.0,-24.0,-43.0,17.0,41475,133.6,1,0
85,13233,22,0,0.106,0.071,0.192,0.145,0.485,-42.0,-3.0,70.0,-33.0,-51.0,19.0,41475,133.6,1,0
86,15003,328,4,0.011000000000000001,0.012,0.027000000000000003,0.151,0.7979999999999999,-49.0,-28.0,-61.0,-66.0,-52.0,25.0,953207,1586.7,0,0
87,18097,2299,67,0.051,0.053,0.11599999999999999,0.23199999999999998,0.5479999999999999,-40.0,-17.0,-36.0,-12.0,-38.0,15.0,903393,2279.6,0,1
88,18097,2299,67,0.051,0.053,0.11599999999999999,0.23199999999999998,0.5479999999999999,-40.0,-13.0,32.0,-38.0,-51.0,18.0,903393,2279.6,0,1
89,18097,2299,67,0.051,0.053,0.11599999999999999,0.23199999999999998,0.5479999999999999,-36.0,-8.0,57.0,-18.0,-43.0,15.0,903393,2279.6,0,1
